Information and diagnostics 
=========================== 
Total iter:                       10 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         Inf 
Min n.eff:                        0 


Model summary 
============= 
                        mean           sd          2.5%          50%        97.5%   Rhat n.eff
mean.Pi[15]      0.788727375 1.945413e-02  0.7836154300  0.783615430  0.860294599   1.51     3
mean.Pi[16]      0.680279313 1.348218e-01  0.5191704089  0.704053411  0.829633540   2.31    14
mean.Pi[17]      0.943232880 0.000000e+00  0.9432328801  0.943232880  0.943232880    NaN     0
mean.Po[1]       0.468148630 1.383722e-01  0.2302316311  0.474988997  0.744532200   1.58    30
mean.Po[2]       0.513448012 1.531372e-01  0.3895909048  0.389590905  0.740143572   5.76     4
mean.Po[3]       0.437030714 1.092010e-01  0.3376379252  0.402426102  0.662152864   2.48    12
mean.Po[4]       0.582985394 1.617756e-01  0.2828153155  0.690312060  0.690312060   3.08     4
mean.Po[5]       0.690956890 1.406108e-01  0.4258883618  0.794951427  0.794951427   1.85     6
mean.Po[6]       0.335830275 1.722061e-01  0.1679218126  0.301649056  0.614061656   2.06     6
mean.Po[7]       0.412393136 1.443313e-01  0.2127863776  0.414901563  0.567430970  17.02    15
mean.Po[8]       0.451581793 1.337383e-01  0.2449777749  0.460581188  0.587555871  15.91    20
mean.Po[9]       0.210390389 1.537894e-01  0.1005680895  0.157130199  0.567778360   3.15    22
mean.Po[10]      0.513839860 6.862041e-02  0.4391450365  0.539916577  0.616161754   7.81    13
mean.Po[11]      0.260716360 1.720371e-01  0.0478271386  0.202722852  0.561557644 101.56    14
mean.Po[12]      0.407334410 1.466845e-01  0.1608621352  0.454451940  0.641980643  39.16     3
mean.Po[13]      0.262392053 2.158509e-01  0.0880868360  0.202652748  0.609044905   1.24     8
mean.Po[14]      0.381324964 7.617133e-02  0.2140238866  0.416110823  0.416110823    Inf     2
mean.Po[15]      0.412636785 2.201883e-01  0.1543978113  0.508378165  0.798037586   1.51     9
mean.Po[16]      0.438812862 1.873217e-01  0.0765762182  0.501194532  0.603919770   1.85    15
mean.Po[17]      0.428661878 2.830295e-01  0.1777584612  0.249092914  0.871518474   1.52     7
mean.R[1, 1]     0.004111138 2.062614e-03  0.0015110139  0.003835291  0.008161655   1.60    23
mean.R[2, 1]     0.351873535 2.770580e-01  0.0027297231  0.250915765  0.869639003   3.62    19
mean.R[3, 1]     0.266547666 2.244182e-01  0.0850876591  0.154540613  0.778213465   3.37    12
mean.R[4, 1]     0.283424383 1.530860e-01  0.0879581457  0.240945638  0.557568901   4.10    22
mean.R[5, 1]     0.089626601 8.353426e-02  0.0178665102  0.051531769  0.256201030   2.34    15
mean.R[1, 2]     0.005250073 2.797492e-03  0.0009631850  0.004744140  0.009413831   1.22    22
mean.R[2, 2]     0.309200336 2.725356e-01  0.0029875117  0.154664823  0.797122572   5.13    15
mean.R[3, 2]     0.218781116 1.098650e-01  0.0417848291  0.222115269  0.440420849   1.49    23
mean.R[4, 2]     0.271657533 1.053629e-01  0.1239990269  0.236889173  0.469733643   1.09    23
mean.R[5, 2]     0.064576103 4.297067e-02  0.0270501211  0.046447019  0.137748431   1.27    23
mean.R[1, 3]     0.006798630 3.677329e-03  0.0039014988  0.004978297  0.016895749   1.64    30
mean.R[2, 3]     0.411182245 2.516240e-01  0.0037346344  0.342175357  0.820423320   8.55    19
mean.R[3, 3]     0.203475582 1.610996e-01  0.0570504566  0.137690833  0.655217906   2.40    10
mean.R[4, 3]     0.249013810 1.038481e-01  0.1161585525  0.263218930  0.448540359   2.23    15
mean.R[5, 3]     0.055935205 4.593998e-02  0.0084632039  0.034092323  0.137481872   2.97    21
mean.R[1, 4]     0.003839852 2.761637e-03  0.0020598938  0.003150508  0.008369501   1.36    15
mean.R[2, 4]     0.330644529 1.895672e-01  0.0044735678  0.283122303  0.642897446   7.59    41
