Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.04 
Min n.eff:                        0 


Model summary 
============= 
                       mean         sd          2.5%          50%       97.5% Rhat n.eff
betaD.R[1]      -0.65048827 0.51762800 -1.6826321161 -0.646969027  0.33377274 1.01   946
mean.phi[1, 4]   0.37333476 0.11032274  0.1694266010  0.370145101  0.59640515 1.00  1723
mean.phi[2, 4]   0.68180171 0.09179765  0.4872476320  0.687794240  0.84301224 1.00  7521
mean.phi[3, 4]   0.78452298 0.07437979  0.6224416255  0.790914050  0.90944909 1.00  8726
mean.phi[4, 4]   0.91025490 0.04912972  0.7913619941  0.919656493  0.97933418 1.00  6828
mean.phi[5, 4]   0.65407668 0.14836839  0.3422578409  0.667302001  0.90143796 1.00  7053
mean.phi[6, 4]   0.23339465 0.12894580  0.0454707863  0.212124433  0.53470146 1.01  4579
mean.phi[1, 5]   0.37882486 0.08760042  0.2163927349  0.375896794  0.55765978 1.01  1897
mean.phi[2, 5]   0.74730014 0.13898468  0.4145321850  0.771628871  0.94408239 1.01  1547
mean.phi[3, 5]   0.89815961 0.06158442  0.7469289765  0.910830455  0.97987673 1.00  2457
mean.phi[4, 5]   0.79884905 0.05752097  0.6765349030  0.803529956  0.89885998 1.00  7367
mean.phi[5, 5]   0.65975815 0.14851636  0.3423031715  0.673998414  0.90528966 1.00  3902
mean.phi[6, 5]   0.62812399 0.17805339  0.2460969397  0.647290983  0.91143138 1.00  2139
mean.phi[1, 6]   0.17419683 0.08585047  0.0453329187  0.161828554  0.37306194 1.00  1715
mean.phi[2, 6]   0.77280850 0.09304411  0.5621320394  0.784018509  0.92197848 1.00  2748
mean.phi[3, 6]   0.87697877 0.08703233  0.6522136091  0.898736747  0.98004666 1.00  2456
mean.phi[4, 6]   0.81525686 0.05231413  0.7015099750  0.820012254  0.90470000 1.00  7641
mean.phi[5, 6]   0.50336145 0.16643788  0.1815138800  0.506916497  0.80839906 1.01  2514
mean.phi[6, 6]   0.61404595 0.17076482  0.2540955866  0.630802304  0.89164779 1.00  2543
mean.phi[1, 7]   0.14417655 0.05464228  0.0556866066  0.137681800  0.26850271 1.00  2268
mean.phi[2, 7]   0.73399222 0.14797620  0.3791172050  0.762216432  0.94275582 1.00  2325
mean.phi[3, 7]   0.91289329 0.05537209  0.7709785254  0.924662071  0.98280093 1.00  2750
mean.phi[4, 7]   0.77117782 0.06417331  0.6342571781  0.775606053  0.88290287 1.00  7482
mean.phi[5, 7]   0.80641425 0.09883263  0.5737402028  0.822819784  0.95172084 1.00  4385
mean.phi[6, 7]   0.73829229 0.15033084  0.3790930150  0.768321689  0.94828537 1.00  2718
mean.phi[1, 8]   0.44398621 0.14308986  0.1657954968  0.446072109  0.71746560 1.00  3243
mean.phi[2, 8]   0.69272483 0.13033418  0.3969092688  0.710511149  0.89575291 1.00  6081
mean.phi[3, 8]   0.82715675 0.10320540  0.5699838443  0.848955952  0.96218077 1.00  4969
mean.phi[4, 8]   0.85949397 0.04887146  0.7493947739  0.864786906  0.93968022 1.00  7089
mean.phi[5, 8]   0.80678811 0.08453370  0.6109586637  0.818825645  0.93733253 1.00  7172
mean.phi[6, 8]   0.62041540 0.15001880  0.2965716370  0.633302250  0.87189560 1.00  5807
mean.phi[1, 9]   0.53027741 0.06974010  0.3918850654  0.531224086  0.66386310 1.00  7244
mean.phi[2, 9]   0.70526543 0.14105977  0.3818749812  0.724010844  0.92137381 1.00  4818
mean.phi[3, 9]   0.83511341 0.09552685  0.5979926292  0.854345685  0.96244862 1.00  5928
