Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.14 
Min n.eff:                        0 


Model summary 
============= 
                        mean          sd         2.5%           50%       97.5% Rhat n.eff
betaVR.R[1]      0.535593091 0.720803227 -0.862674914  5.204962e-01  1.96702089 1.00  1445
mean.phi[2, 9]   0.835098670 0.063991796  0.684435028  8.446168e-01  0.93180265 1.00  4016
mean.phi[3, 9]   0.831514226 0.052278887  0.712663511  8.368976e-01  0.91573567 1.00  7467
mean.phi[4, 9]   0.415551664 0.121640306  0.187263743  4.136721e-01  0.65064244 1.00  2210
mean.phi[1, 10]  0.908521932 0.039847105  0.815257297  9.144498e-01  0.96961588 1.00  6360
mean.phi[2, 10]  0.927131151 0.040216392  0.826467262  9.351434e-01  0.98102139 1.00  6385
mean.phi[3, 10]  0.873145420 0.045073467  0.769657016  8.785209e-01  0.94527529 1.00  7882
mean.phi[4, 10]  0.711671965 0.112792316  0.468829465  7.216041e-01  0.90291507 1.00  6168
mean.phi[1, 11]  0.859290736 0.048713630  0.748882456  8.644152e-01  0.93911106 1.00  8183
mean.phi[2, 11]  0.935952367 0.039201830  0.837475270  9.441692e-01  0.98729839 1.00  4926
mean.phi[3, 11]  0.950614446 0.029060686  0.878467943  9.564386e-01  0.98968506 1.00  4975
mean.phi[4, 11]  0.810505992 0.081215256  0.627640376  8.197151e-01  0.94022799 1.00  4487
mean.phi[1, 12]  0.815018341 0.064866396  0.670494694  8.221267e-01  0.92029612 1.00  7392
mean.phi[2, 12]  0.910714873 0.039408298  0.817758872  9.167924e-01  0.97004309 1.00  7124
mean.phi[3, 12]  0.919946775 0.044863316  0.808632308  9.289074e-01  0.98023120 1.00  6031
mean.phi[4, 12]  0.701898190 0.076227760  0.542447099  7.058462e-01  0.83766388 1.00  7730
mean.phi[1, 13]  0.755078818 0.069668198  0.602695989  7.613095e-01  0.87331165 1.00  6162
mean.phi[2, 13]  0.926849383 0.033937194  0.847414931  9.321402e-01  0.97699041 1.00  6965
mean.phi[3, 13]  0.900492740 0.059124365  0.748494638  9.138280e-01  0.97607047 1.00  6251
mean.phi[4, 13]  0.724462880 0.074220682  0.565989242  7.286092e-01  0.85829668 1.00  7607
mean.phi[1, 14]  0.893109813 0.046126474  0.784259564  9.000925e-01  0.96376040 1.00  6622
mean.phi[2, 14]  0.931984275 0.031242512  0.858662277  9.368532e-01  0.97856586 1.00  7447
mean.phi[3, 14]  0.901627113 0.056603259  0.760858089  9.130955e-01  0.97558926 1.00  6681
mean.phi[4, 14]  0.563374835 0.091923397  0.379844576  5.656575e-01  0.73241534 1.00  5245
mean.phi[1, 15]  0.885944982 0.041077981  0.793698748  8.905852e-01  0.95159265 1.00  7347
mean.phi[2, 15]  0.925788681 0.031406467  0.851684516  9.304405e-01  0.97319479 1.00  6838
mean.phi[3, 15]  0.916050737 0.053427263  0.780960694  9.281219e-01  0.98273087 1.00  5914
mean.phi[4, 15]  0.709659936 0.088801373  0.520779576  7.156192e-01  0.86506724 1.00  7077
mean.phi[1, 16]  0.850529915 0.046127523  0.748604176  8.552758e-01  0.92692544 1.00  7552
mean.phi[2, 16]  0.937279201 0.028891696  0.868406655  9.421092e-01  0.97997554 1.00  6813
mean.phi[3, 16]  0.906954811 0.043449291  0.803871837  9.144555e-01  0.97062259 1.00  6785
mean.phi[4, 16]  0.760084622 0.087556947  0.566848460  7.681870e-01  0.90908070 1.00  6134
mean.phi[1, 17]  0.861338596 0.045875151  0.758599119  8.655701e-01  0.93794647 1.00  8195
