Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.06 
Min n.eff:                        0 


Model summary 
============= 
                        mean          sd         2.5%           50%       97.5% Rhat n.eff
betaVR.R[1]      0.378991498 0.564101386 -0.617283931  3.438035e-01  1.59510723 1.00  3282
mean.R[3, 8]     0.218021257 0.078304087  0.094667202  2.082260e-01  0.39935949 1.00  5252
mean.R[4, 8]     0.098001569 0.046903822  0.033211000  8.909409e-02  0.21593999 1.00  3590
mean.R[1, 9]     0.071658309 0.042060621  0.018557845  6.262876e-02  0.17925854 1.00  3063
mean.R[2, 9]     0.114192944 0.056605570  0.035041918  1.038169e-01  0.25145721 1.00  4047
mean.R[3, 9]     0.238198091 0.084104230  0.101705578  2.291263e-01  0.42633515 1.00  4878
mean.R[4, 9]     0.096273035 0.046191004  0.033681413  8.719679e-02  0.21103145 1.00  3642
mean.R[1, 10]    0.070431402 0.049953938  0.013131777  5.773299e-02  0.20320143 1.00  2663
mean.R[2, 10]    0.154946927 0.081129198  0.048572138  1.378029e-01  0.36378422 1.00  2504
mean.R[3, 10]    0.209835842 0.093746317  0.076939350  1.933044e-01  0.44296503 1.00  2753
mean.R[4, 10]    0.105889122 0.061934870  0.032122049  9.147784e-02  0.26790369 1.01  1789
mean.R[1, 11]    0.096466400 0.061557917  0.020708736  8.210299e-02  0.25408211 1.00  5014
mean.R[2, 11]    0.071066276 0.058402675  0.009339112  5.479682e-02  0.22521911 1.00  3633
mean.R[3, 11]    0.358264804 0.178502627  0.073845676  3.393372e-01  0.73974486 1.00  3854
mean.R[4, 11]    0.097460933 0.060605456  0.019780263  8.502061e-02  0.24982025 1.00  4769
mean.R[1, 12]    0.074949742 0.047301379  0.012600695  6.493752e-02  0.19242628 1.00  3397
mean.R[2, 12]    0.056929365 0.043490722  0.006237621  4.587385e-02  0.17135572 1.00  3453
mean.R[3, 12]    0.301950970 0.163914915  0.045166781  2.831826e-01  0.65931097 1.01  2205
mean.R[4, 12]    0.076950548 0.046127117  0.012660741  6.905834e-02  0.18849319 1.00  2228
mean.R[1, 13]    0.098934922 0.055866378  0.026866928  8.736024e-02  0.23933999 1.00  3476
mean.R[2, 13]    0.086922267 0.061763100  0.015038199  7.133635e-02  0.24892618 1.00  3332
mean.R[3, 13]    0.355604704 0.155054135  0.101500770  3.406476e-01  0.68753097 1.00  4643
mean.R[4, 13]    0.105677607 0.054263528  0.031606183  9.579395e-02  0.24167139 1.00  4282
mean.R[1, 14]    0.085107263 0.050153884  0.021268323  7.448892e-02  0.21099499 1.00  4375
mean.R[2, 14]    0.079760663 0.053555464  0.014557507  6.691167e-02  0.21970243 1.00  4331
mean.R[3, 14]    0.313945574 0.141341714  0.087124704  2.975099e-01  0.62528847 1.00  5208
mean.R[4, 14]    0.093351146 0.048256847  0.026361917  8.494090e-02  0.21381105 1.00  5652
mean.R[1, 15]    0.076067323 0.042669414  0.019526381  6.770587e-02  0.18295273 1.00  3913
mean.R[2, 15]    0.088055463 0.054384887  0.017861974  7.620648e-02  0.22506345 1.00  4252
mean.R[3, 15]    0.279133470 0.123429335  0.078096716  2.652702e-01  0.55642070 1.00  4258
mean.R[4, 15]    0.091744919 0.048702886  0.025486495  8.317060e-02  0.20972517 1.00  4842
mean.R[1, 16]    0.063773734 0.033818648  0.016351342  5.756710e-02  0.14572119 1.00  3988
mean.R[2, 16]    0.080272782 0.047765406  0.015728011  7.069906e-02  0.19784859 1.00  3811
mean.R[3, 16]    0.241179978 0.106256256  0.066644162  2.313461e-01  0.47389947 1.00  3916
mean.R[4, 16]    0.079718001 0.040465847  0.020744738  7.352176e-02  0.17531110 1.00  4534
mean.R[1, 17]    0.056778921 0.040672070  0.006397700  4.804890e-02  0.15827863 1.00  3504
mean.R[2, 17]    0.080518951 0.059589902  0.007083721  6.740456e-02  0.22831880 1.00  3291
mean.R[3, 17]    0.245164007 0.172595039  0.029305585  2.026394e-01  0.71296002 1.00  2775
mean.R[4, 17]    0.077537376 0.048347210  0.012168896  6.928160e-02  0.19708059 1.00  3727
mean.p[1]        0.990663171 0.002810970  0.984421125  9.909317e-01  0.99535760 1.00  4890
mean.p[2]        0.990654056 0.003039583  0.983873009  9.909764e-01  0.99555808 1.00  5085
mean.p[3]        0.990697279 0.003041101  0.983943551  9.910074e-01  0.99569886 1.00  4312
mean.p[4]        0.990637725 0.002995555  0.983919073  9.909555e-01  0.99552524 1.00  5370
mean.p[5]        0.990555368 0.003084958  0.983634778  9.909084e-01  0.99546477 1.00  4559
mean.p[6]        0.990724406 0.002985851  0.984074186  9.910312e-01  0.99558230 1.00  4641
mean.p[7]        0.990327408 0.003513306  0.983235823  9.907436e-01  0.99529557 1.00  3576
mean.p[8]        0.990539619 0.003056851  0.983701173  9.908810e-01  0.99545357 1.00  4633
mean.p[9]        0.990493212 0.003079707  0.983577695  9.908478e-01  0.99541682 1.00  4937
mean.p[10]       0.990661807 0.003043581  0.983895944  9.909868e-01  0.99562434 1.00  4505
mean.p[11]       0.990699602 0.003022941  0.983989181  9.910005e-01  0.99567841 1.00  4343
mean.p[12]       0.990753609 0.002992567  0.984097826  9.910408e-01  0.99573550 1.00  4325
mean.p[13]       0.990720725 0.002942135  0.984098604  9.910105e-01  0.99551383 1.00  5203
mean.p[14]       0.990761357 0.002976575  0.984189417  9.910446e-01  0.99565135 1.00  4427
mean.p[15]       0.990747315 0.003018882  0.984032949  9.910495e-01  0.99573251 1.00  4441
mean.p[16]       0.990594128 0.003026011  0.983821969  9.909346e-01  0.99549804 1.00  4951
mean.p[17]       0.990574257 0.003037399  0.983827822  9.908948e-01  0.99547423 1.00  4795
mean.p[18]       0.990503817 0.003301382  0.983406593  9.908834e-01  0.99547560 1.00  3889
mean.phi[1, 1]   0.904354622 0.055540656  0.767459347  9.149443e-01  0.97978619 1.00  5935
mean.phi[2, 1]   0.924866715 0.052205133  0.793784310  9.373354e-01  0.98646783 1.00  5449
mean.phi[3, 1]   0.913287491 0.056996982  0.768559906  9.256853e-01  0.98480536 1.00  5873
mean.phi[4, 1]   0.817460825 0.077901408  0.642201933  8.268268e-01  0.94177654 1.00  4904
mean.phi[1, 2]   0.830257446 0.070883871  0.661537542  8.406487e-01  0.93856654 1.00  6174
mean.phi[2, 2]   0.922229183 0.041910255  0.818773996  9.303799e-01  0.97924258 1.00  6703
mean.phi[3, 2]   0.917982760 0.047556647  0.799568801  9.273081e-01  0.98130012 1.00  5872
mean.phi[4, 2]   0.632606982 0.096482521  0.431049472  6.386445e-01  0.80500220 1.00  6828
mean.phi[1, 3]   0.888344457 0.043519985  0.788166129  8.940718e-01  0.95674466 1.00  6986
mean.phi[2, 3]   0.951829507 0.026512420  0.886510064  9.565799e-01  0.98862930 1.00  4414
mean.phi[3, 3]   0.859048330 0.070992937  0.682295689  8.731440e-01  0.95707474 1.00  5896
mean.phi[4, 3]   0.681597368 0.091796853  0.489354200  6.875735e-01  0.84412828 1.00  6927
mean.phi[1, 4]   0.913453119 0.036130613  0.829902667  9.187535e-01  0.96932929 1.00  5181
mean.phi[2, 4]   0.895375857 0.043418223  0.794825664  9.019634e-01  0.96093992 1.00  6747
mean.phi[3, 4]   0.932888533 0.039675691  0.833424002  9.414611e-01  0.98453078 1.00  5012
mean.phi[4, 4]   0.707083153 0.092596139  0.509687840  7.135714e-01  0.86742206 1.00  6778
mean.phi[1, 5]   0.885040227 0.062193541  0.732904990  8.965827e-01  0.97222878 1.00  5521
mean.phi[2, 5]   0.931629564 0.029372088  0.861535080  9.360107e-01  0.97554185 1.00  7787
mean.phi[3, 5]   0.908744241 0.052934556  0.782168044  9.189701e-01  0.98267199 1.00  3049
mean.phi[4, 5]   0.715069599 0.102573441  0.493623305  7.234422e-01  0.88996869 1.00  3402
mean.phi[1, 6]   0.899708468 0.057955075  0.758149461  9.112768e-01  0.97778800 1.00  5564
mean.phi[2, 6]   0.962330726 0.019356091  0.915047842  9.655980e-01  0.98996933 1.00  5065
mean.phi[3, 6]   0.733664084 0.087246584  0.545142293  7.409457e-01  0.88324688 1.00  7462
mean.phi[4, 6]   0.413703480 0.111391164  0.206658932  4.108611e-01  0.63641411 1.00  4373
mean.phi[1, 7]   0.890196338 0.067723480  0.720751082  9.054799e-01  0.97842316 1.01  4970
mean.phi[2, 7]   0.936793274 0.026595504  0.874166878  9.407133e-01  0.97686020 1.00  7776
