mean.R[1, 15]    0.4480707392 0.26894692  0.0151327106  0.4487514990  0.92079927 1.00  1367
mean.R[2, 15]    0.2464000230 0.20771791  0.0049981482  0.1907197534  0.75517558 1.00  1510
mean.R[3, 15]    0.2066587207 0.19404026  0.0027942092  0.1476096798  0.71148007 1.00  1630
mean.R[4, 15]    0.0795152516 0.11156598  0.0006777711  0.0394568928  0.41423623 1.00  1686
mean.R[1, 16]    0.7848164875 0.17739516  0.3657603213  0.8279931441  0.99572267 1.01  1096
mean.R[2, 16]    0.5866422275 0.26335610  0.1072113598  0.5955731106  0.98777259 1.00   860
mean.R[3, 16]    0.5410315620 0.25333368  0.1048541566  0.5329006837  0.97977375 1.00   784
mean.R[4, 16]    0.3023152819 0.25871004  0.0198467953  0.2140012619  0.93099366 1.00   873
mean.R[1, 17]    0.5231247098 0.28764542  0.0232479427  0.5424814418  0.97502734 1.00   945
mean.R[2, 17]    0.3319158719 0.26639520  0.0077400902  0.2645439819  0.92798378 1.00   954
mean.R[3, 17]    0.3090112380 0.25623868  0.0057998918  0.2436722129  0.89901884 1.00  1184
mean.R[4, 17]    0.1402841524 0.18383757  0.0012632788  0.0679539923  0.72049295 1.00  1284
mean.p[1]        0.9319341195 0.01532756  0.8982092553  0.9331634843  0.95840761 1.00  1493
mean.p[2]        0.9410880132 0.03788816  0.8448454839  0.9491987042  0.98863288 1.00  5861
mean.p[3]        0.9453463477 0.03431775  0.8591472235  0.9525590756  0.98972739 1.00  6167
mean.p[4]        0.9637301412 0.02073981  0.9138712213  0.9675312001  0.99244768 1.00  4226
mean.p[5]        0.9581903117 0.02126793  0.9067860505  0.9617332346  0.98846980 1.00  4762
mean.p[6]        0.9663023761 0.01915965  0.9198353961  0.9696250838  0.99291249 1.00  4230
mean.p[7]        0.9663639763 0.01917504  0.9193735826  0.9697735386  0.99280351 1.00  3671
mean.p[8]        0.9531499786 0.02384568  0.8949745641  0.9569987982  0.98749098 1.00  5834
mean.p[9]        0.9626859389 0.02158657  0.9097100527  0.9670533323  0.99196512 1.00  4452
mean.p[10]       0.9453311643 0.02882478  0.8751849366  0.9504503413  0.98635565 1.00  6471
mean.p[11]       0.9458925361 0.02489231  0.8862040944  0.9496834514  0.98316256 1.00  6420
mean.p[12]       0.9183375630 0.03245373  0.8424646716  0.9230194743  0.96809050 1.00  7007
mean.p[13]       0.8699159536 0.04478784  0.7680384182  0.8756794833  0.94078142 1.00  6037
mean.p[14]       0.7201347140 0.06289350  0.5896620621  0.7225727627  0.83556141 1.00  3799
mean.p[15]       0.9046305306 0.03561120  0.8222767968  0.9095312678  0.96042046 1.00  7363
mean.p[16]       0.9274802038 0.03127095  0.8536190400  0.9324344049  0.97410090 1.00  7140
mean.p[17]       0.9371294978 0.02691893  0.8742919856  0.9411966556  0.97760231 1.00  7009
mean.p[18]       0.8675426470 0.06612573  0.7165443442  0.8763968909  0.96928530 1.00  2102
mean.phi[1, 1]   0.8011317469 0.06960737  0.6489928638  0.8048100173  0.92464587 1.00  4281
mean.phi[2, 1]   0.8213472375 0.04415392  0.7228994851  0.8241867080  0.90032838 1.00  4673
mean.phi[3, 1]   0.7293161820 0.07925632  0.5379676046  0.7387797219  0.85981618 1.01  4414
mean.phi[4, 1]   0.6316118729 0.09735858  0.4540354271  0.6243988739  0.84398791 1.00  4285
mean.phi[1, 2]   0.7787875960 0.03829641  0.6980018795  0.7797390563  0.85253092 1.00  4644
mean.phi[2, 2]   0.8296445493 0.03738347  0.7493624344  0.8314527054  0.89779966 1.01  3855
mean.phi[3, 2]   0.7371711381 0.05843212  0.6008409053  0.7434341896  0.83195869 1.01  3239
mean.phi[4, 2]   0.5591630729 0.07408489  0.3852666718  0.5662389254  0.68278682 1.01  2155
mean.phi[1, 3]   0.7804974191 0.03471282  0.7100270519  0.7804478080  0.84993814 1.00  4321
mean.phi[2, 3]   0.8291129053 0.03480480  0.7536757138  0.8307652012  0.89292299 1.00  4327
mean.phi[3, 3]   0.7428327621 0.05407366  0.6226981763  0.7473337638  0.83685806 1.00  4529
mean.phi[4, 3]   0.5661560279 0.06830250  0.4130497798  0.5713050459  0.68742479 1.01  3207
mean.phi[1, 4]   0.7427875693 0.03786735  0.6640439173  0.7435077806  0.81545606 1.00  5897
mean.phi[2, 4]   0.8449264831 0.03541851  0.7746237358  0.8449535407  0.91592947 1.00  2777
mean.phi[3, 4]   0.7416136148 0.05724208  0.6214661598  0.7447300995  0.84455228 1.00  5684
mean.phi[4, 4]   0.5481063348 0.07763971  0.3693023920  0.5541732796  0.68290251 1.00  2272
mean.phi[1, 5]   0.8797650869 0.04737265  0.7718195267  0.8858646268  0.95353905 1.00  3320
mean.phi[2, 5]   0.7963140019 0.04315375  0.7056110916  0.7986225886  0.87452514 1.00  6912
mean.phi[3, 5]   0.7477460487 0.10224951  0.5191714490  0.7590355749  0.91313167 1.00  4666
mean.phi[4, 5]   0.6181670153 0.15709862  0.2827823906  0.6315869620  0.87934905 1.00  3588
mean.phi[1, 6]   0.8626739996 0.04856679  0.7514317628  0.8684867667  0.93990574 1.00  3402
mean.phi[2, 6]   0.8038448988 0.03852464  0.7232525226  0.8056978627  0.87469493 1.00  7438
mean.phi[3, 6]   0.7293665891 0.10471217  0.4904927024  0.7428533856  0.89602317 1.01  2464
mean.phi[4, 6]   0.6129445879 0.14349742  0.3084543255  0.6238726100  0.85783403 1.00  3437
mean.phi[1, 7]   0.8782893241 0.04753688  0.7713466980  0.8837692151  0.95364345 1.00  3105
mean.phi[2, 7]   0.7912786473 0.04428801  0.6940732240  0.7946238869  0.86841788 1.00  6945
mean.phi[3, 7]   0.7582778295 0.09586438  0.5442666093  0.7681604678  0.91586730 1.00  5275
mean.phi[4, 7]   0.6221904517 0.15376958  0.2951949560  0.6353484823  0.87932476 1.00  3371
mean.phi[1, 8]   0.7915162019 0.04376930  0.6937732474  0.7946466084  0.86728357 1.00  3298
mean.phi[2, 8]   0.8321999887 0.03073960  0.7710714326  0.8317762521  0.89425835 1.01  4043
mean.phi[3, 8]   0.7548985343 0.05030859  0.6500607223  0.7564306728  0.84976914 1.00  4936
mean.phi[4, 8]   0.5819491896 0.07480134  0.4273864402  0.5852030206  0.72122457 1.00  3677
mean.phi[1, 9]   0.7830779221 0.04265617  0.6920926610  0.7841863076  0.86574885 1.01  3411
mean.phi[2, 9]   0.8058420698 0.04300806  0.6958017411  0.8132165178  0.86755309 1.02   725
mean.phi[3, 9]   0.7553248229 0.04735136  0.6597182238  0.7562261074  0.84556033 1.00  5176
mean.phi[4, 9]   0.5876170270 0.06943302  0.4490119740  0.5877312181  0.72527444 1.00  4193
mean.phi[1, 10]  0.8056080811 0.03864610  0.7221286928  0.8074882435  0.87577343 1.00  4062
mean.phi[2, 10]  0.8285178703 0.03403342  0.7604314867  0.8279830543  0.89832058 1.01  3583
mean.phi[3, 10]  0.7658107711 0.05045169  0.6643091633  0.7667037895  0.86269814 1.00  2714
mean.phi[4, 10]  0.6067258734 0.08024394  0.4475957103  0.6075692195  0.76399788 1.01  3061
mean.phi[1, 11]  0.7142292273 0.04562192  0.6208924157  0.7151997541  0.80094838 1.00  6862
mean.phi[2, 11]  0.8401666065 0.04106769  0.7517755806  0.8434591089  0.91109506 1.00  3880
mean.phi[3, 11]  0.7362514116 0.06469761  0.6005157723  0.7403642848  0.85110499 1.00  7309
mean.phi[4, 11]  0.5577230119 0.08664143  0.3845782608  0.5592343213  0.72401866 1.00  5992
mean.phi[1, 12]  0.7213048638 0.04806212  0.6242035678  0.7221622442  0.81569758 1.00  5316
mean.phi[2, 12]  0.8422986733 0.03841765  0.7603800171  0.8447169078  0.91033237 1.00  4312
