Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.43 
Min n.eff:                        0 


Model summary 
============= 
                        mean         sd          2.5%          50%       97.5% Rhat n.eff
betaD.R[1]      -0.563261228 0.49321675 -1.5475749728 -0.557653346  0.38305060 1.00   975
mean.phi[3, 8]   0.828833537 0.08548287  0.6170380534  0.844463642  0.94797209 1.00  5015
mean.phi[4, 8]   0.849853205 0.04605614  0.7484759806  0.854056933  0.92816630 1.00  6455
mean.phi[5, 8]   0.795357448 0.07661089  0.6232903917  0.803931176  0.91975489 1.00  6930
mean.phi[6, 8]   0.642048671 0.12482570  0.3676827105  0.652118501  0.85399702 1.00  6146
mean.phi[1, 9]   0.543095281 0.06639068  0.4100880210  0.544642090  0.66898359 1.00  6999
mean.phi[2, 9]   0.705969807 0.11220446  0.4554109977  0.717419657  0.89235855 1.00  5414
mean.phi[3, 9]   0.833603531 0.08020637  0.6354526759  0.846711259  0.94948851 1.00  5275
mean.phi[4, 9]   0.725872484 0.07567443  0.5595792884  0.732848650  0.85212667 1.00  3507
mean.phi[5, 9]   0.798241881 0.06541261  0.6538934323  0.804427021  0.90685942 1.00  8604
mean.phi[6, 9]   0.697589291 0.11624113  0.4370571501  0.709087965  0.89218212 1.00  6261
mean.phi[1, 10]  0.548333881 0.08238272  0.3842581397  0.549932417  0.70556208 1.00  7337
mean.phi[2, 10]  0.752773644 0.06754600  0.6087238912  0.756890183  0.87237336 1.00  6556
mean.phi[3, 10]  0.837675518 0.08414188  0.6313480954  0.853592397  0.95305126 1.00  5152
mean.phi[4, 10]  0.848170676 0.06266261  0.7029939297  0.856409608  0.94685378 1.00  5611
mean.phi[5, 10]  0.825742573 0.06034846  0.6918768725  0.831575979  0.92608876 1.00  6796
mean.phi[6, 10]  0.745708315 0.10001035  0.5238327942  0.755680658  0.90972361 1.00  5905
mean.phi[1, 11]  0.764235569 0.08169034  0.5861976139  0.771175809  0.90417073 1.00  5086
mean.phi[2, 11]  0.689432189 0.08860950  0.5010132557  0.695046346  0.84546866 1.00  6834
