Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.14 
Min n.eff:                        0 


Model summary 
============= 
                       mean          sd          2.5%          50%       97.5% Rhat n.eff
betaD.R[1]      -0.03475512 0.741392110 -1.514916e+00 -0.023716417  1.39523719 1.00  4975
mean.phi[1, 3]   0.68221197 0.097221135  4.753674e-01  0.688352115  0.85194743 1.00 10112
mean.phi[2, 3]   0.94446825 0.040918149  8.403970e-01  0.954534499  0.99291941 1.00  7946
mean.phi[3, 3]   0.74775537 0.117526028  4.812418e-01  0.764366801  0.92719319 1.00  8443
mean.phi[4, 3]   0.95278987 0.032237616  8.694007e-01  0.960241275  0.99216835 1.00  6672
mean.phi[5, 3]   0.87511656 0.084230942  6.603758e-01  0.894858933  0.98073253 1.00  6044
mean.phi[6, 3]   0.64895789 0.104379421  4.306545e-01  0.655086432  0.83363302 1.00  8839
mean.phi[1, 4]   0.60929649 0.113981650  3.703247e-01  0.616271113  0.81136120 1.00  2894
mean.phi[2, 4]   0.92380537 0.049648488  7.973631e-01  0.935384287  0.98559275 1.00  6506
mean.phi[3, 4]   0.86914363 0.057704134  7.356191e-01  0.877226595  0.95814238 1.00  5212
mean.phi[4, 4]   0.89949213 0.046072588  7.902620e-01  0.906807824  0.96735229 1.00  8130
mean.phi[5, 4]   0.93500540 0.042826230  8.283976e-01  0.944899078  0.98837953 1.00  5872
mean.phi[6, 4]   0.67497036 0.099488073  4.659689e-01  0.681490117  0.84768492 1.00  5844
mean.phi[1, 5]   0.56239738 0.111535421  3.370346e-01  0.564950885  0.77074325 1.00  2306
mean.phi[2, 5]   0.85268036 0.092321021  6.181920e-01  0.872933513  0.97261162 1.00  2386
mean.phi[3, 5]   0.83866849 0.083601081  6.380211e-01  0.853142492  0.95850673 1.00  3008
mean.phi[4, 5]   0.92753336 0.030827191  8.554787e-01  0.931935033  0.97391911 1.00  5609
mean.phi[5, 5]   0.88564742 0.060066144  7.420851e-01  0.896266082  0.97175205 1.01  2062
mean.phi[6, 5]   0.67136341 0.106300277  4.486547e-01  0.677144027  0.86145581 1.01  1467
mean.phi[1, 6]   0.60846928 0.152563639  2.900992e-01  0.616468226  0.87094525 1.00  1819
mean.phi[2, 6]   0.87057561 0.073929068  6.882642e-01  0.884644908  0.97100623 1.01  3521
mean.phi[3, 6]   0.86940722 0.078416574  6.741806e-01  0.885598235  0.97306840 1.00  3010
mean.phi[4, 6]   0.95672894 0.020885731  9.068822e-01  0.960114732  0.98708582 1.00  4203
mean.phi[5, 6]   0.72650691 0.087254156  5.369269e-01  0.733992745  0.87303337 1.00  5409
mean.phi[6, 6]   0.41448267 0.106040418  2.174778e-01  0.411724587  0.62850284 1.00  2561
mean.phi[1, 7]   0.50155528 0.115686547  2.743882e-01  0.503179911  0.71915851 1.00  2764
mean.phi[2, 7]   0.84030830 0.097796734  5.939092e-01  0.861173305  0.96774643 1.00  2972
mean.phi[3, 7]   0.86639285 0.073042091  6.870173e-01  0.880358058  0.96671312 1.00  3531
mean.phi[4, 7]   0.92870477 0.027757507  8.646230e-01  0.932649825  0.97116437 1.00  6640
mean.phi[5, 7]   0.89402790 0.053264580  7.675974e-01  0.902659076  0.97187230 1.01  2295
mean.phi[6, 7]   0.65095252 0.123350563  3.959305e-01  0.657309444  0.86901010 1.01  2217
mean.phi[1, 8]   0.66331382 0.115801246  4.066273e-01  0.675092941  0.85430598 1.00  5899
mean.phi[2, 8]   0.81754073 0.079393128  6.292402e-01  0.830782766  0.93635723 1.00  7028
mean.phi[3, 8]   0.86552055 0.075291297  6.775509e-01  0.880823460  0.96567516 1.00  5675
mean.phi[4, 8]   0.90408620 0.033928393  8.260350e-01  0.908688919  0.95777043 1.00  7722
mean.phi[5, 8]   0.76348303 0.070631408  6.098277e-01  0.770727937  0.88104891 1.00  2861
mean.phi[6, 8]   0.52739419 0.112658507  3.015865e-01  0.531313273  0.73478106 1.00  4833
mean.phi[1, 9]   0.71798500 0.064121539  5.821199e-01  0.721453420  0.83397249 1.00  7455
mean.phi[2, 9]   0.85386071 0.077388008  6.615894e-01  0.868547312  0.95995812 1.00  6224
mean.phi[3, 9]   0.88568951 0.060540722  7.384259e-01  0.897008877  0.96942523 1.00  5910
mean.phi[4, 9]   0.84468364 0.056807743  7.124101e-01  0.852547895  0.93299000 1.00  3521
mean.phi[5, 9]   0.82831665 0.051211939  7.144546e-01  0.833087306  0.91361066 1.00  6995
mean.phi[6, 9]   0.46715248 0.115292319  2.410873e-01  0.468762177  0.68479024 1.00  2062
mean.phi[1, 10]  0.73499506 0.084473778  5.507399e-01  0.740862211  0.88220620 1.00  6634
mean.phi[2, 10]  0.88944978 0.043611880  7.889544e-01  0.894812013  0.95914294 1.00  6798
mean.phi[3, 10]  0.87424620 0.069550353  7.015879e-01  0.888312680  0.96717961 1.00  5823
mean.phi[4, 10]  0.91995113 0.038963166  8.248859e-01  0.927123575  0.97515495 1.00  6348
mean.phi[5, 10]  0.86805500 0.044581436  7.661065e-01  0.872473747  0.94061110 1.00  7914
mean.phi[6, 10]  0.70652780 0.101119765  4.899175e-01  0.713961156  0.88182784 1.00  5291
mean.phi[1, 11]  0.84026936 0.061083486  7.029332e-01  0.847169835  0.94042929 1.00  5544
mean.phi[2, 11]  0.82864689 0.074858422  6.516489e-01  0.840344527  0.94110810 1.00  6372
mean.phi[3, 11]  0.88296887 0.046112441  7.769804e-01  0.888721721  0.95535054 1.00  7848
mean.phi[4, 11]  0.92699446 0.039144223  8.331813e-01  0.934106214  0.98041810 1.00  6147
mean.phi[5, 11]  0.93868047 0.030764063  8.655056e-01  0.943785182  0.98317899 1.01  2886
mean.phi[6, 11]  0.78483992 0.079951291  6.095346e-01  0.792607132  0.91924352 1.00  3577
mean.phi[1, 12]  0.67965667 0.079092991  5.105890e-01  0.684773089  0.81953457 1.00  5897
mean.phi[2, 12]  0.85964072 0.057071387  7.269862e-01  0.867679044  0.94819666 1.00  7485
mean.phi[3, 12]  0.80214622 0.085947464  6.034477e-01  0.815703299  0.92970393 1.00  5017
mean.phi[4, 12]  0.90962263 0.036016227  8.261623e-01  0.914670684  0.96484812 1.00  7009
mean.phi[5, 12]  0.91151329 0.042415587  8.107354e-01  0.918583646  0.97240250 1.00  6738
mean.phi[6, 12]  0.69810980 0.071910900  5.500727e-01  0.701467629  0.82902220 1.00  8063
mean.phi[1, 13]  0.74494406 0.067855095  5.956471e-01  0.749926932  0.86156135 1.00  7006
mean.phi[2, 13]  0.84806939 0.062015519  6.987522e-01  0.857660743  0.94065198 1.00  6315
mean.phi[3, 13]  0.79950815 0.076066083  6.262604e-01  0.810212573  0.91753067 1.00  6040
mean.phi[4, 13]  0.92771998 0.030569476  8.545616e-01  0.931936961  0.97373576 1.00  6685
mean.phi[5, 13]  0.90115556 0.050357528  7.777379e-01  0.911234623  0.97084044 1.00  5288
mean.phi[6, 13]  0.71536627 0.071120910  5.631063e-01  0.719132734  0.84249734 1.00  7606
mean.phi[1, 14]  0.78592197 0.065904985  6.402691e-01  0.791413817  0.89721357 1.00  7056
mean.phi[2, 14]  0.89807645 0.044699996  7.928826e-01  0.904641338  0.96655561 1.00  5679
mean.phi[3, 14]  0.87836465 0.055184015  7.472647e-01  0.886710358  0.95939867 1.00  6592
mean.phi[4, 14]  0.93061167 0.028933682  8.638470e-01  0.934826073  0.97498770 1.00  6702
mean.phi[5, 14]  0.89315605 0.053977215  7.605031e-01  0.903018142  0.96791185 1.00  6202
mean.phi[6, 14]  0.60039280 0.084417182  4.266447e-01  0.604023749  0.75358169 1.00  6214
mean.phi[1, 15]  0.79599389 0.056481461  6.750056e-01  0.800035473  0.89511540 1.00  8130
mean.phi[2, 15]  0.84568354 0.059154965  7.080029e-01  0.853696573  0.93803643 1.00  7376
mean.phi[3, 15]  0.90073157 0.044563893  7.963980e-01  0.907335999  0.96757674 1.00  6648
mean.phi[4, 15]  0.92466267 0.028663246  8.585179e-01  0.928314094  0.96976023 1.00  7453
mean.phi[5, 15]  0.90476454 0.052275037  7.723917e-01  0.915103141  0.97553372 1.00  5827
mean.phi[6, 15]  0.71332001 0.083298606  5.371064e-01  0.718870845  0.85979672 1.00  6940
mean.phi[1, 16]  0.86959551 0.053080313  7.504558e-01  0.875993826  0.95463442 1.00  2083
mean.phi[2, 16]  0.82298623 0.055781087  6.987819e-01  0.828594814  0.91490874 1.00  7543
mean.phi[3, 16]  0.86937657 0.055572468  7.359791e-01  0.877004352  0.95347627 1.00  6594
mean.phi[4, 16]  0.93414268 0.026730079  8.719379e-01  0.937792919  0.97537181 1.00  7001
mean.phi[5, 16]  0.90263758 0.041174166  8.047655e-01  0.909015717  0.96461623 1.00  6596
mean.phi[6, 16]  0.74300171 0.085041518  5.586033e-01  0.749300049  0.88829722 1.00  6156
mean.phi[1, 17]  0.76909725 0.102197298  5.340361e-01  0.782817929  0.92835654 1.01  3869
mean.phi[2, 17]  0.89855193 0.049386799  7.824664e-01  0.905626966  0.97449138 1.00  5796
mean.phi[3, 17]  0.82407949 0.064240878  6.807302e-01  0.831261973  0.92783790 1.00  7332
mean.phi[4, 17]  0.89713474 0.037850289  8.104566e-01  0.901481658  0.95756784 1.00  7105
mean.phi[5, 17]  0.94870034 0.030462024  8.751043e-01  0.954180564  0.99056236 1.00  3931
mean.phi[6, 17]  0.77086069 0.088547454  5.782927e-01  0.778323126  0.91844042 1.00  3835
mu.R[1]          0.02098130 0.015506321  2.466473e-03  0.017253650  0.06096613 1.00  3584
mu.R[2]          0.18127313 0.074210830  6.294927e-02  0.172665981  0.34904718 1.00  5799
mu.R[3]          0.09312869 0.049713614  2.194103e-02  0.083789608  0.21280483 1.01  4470
mu.R[4]          0.14966959 0.051939627  6.334547e-02  0.144028213  0.26543190 1.00  4979
mu.R[5]          0.17588697 0.067756480  6.296841e-02  0.168604711  0.32260916 1.00  2633
mu.R[6]          0.10227202 0.032829544  4.839205e-02  0.098485335  0.17603534 1.00  5227
mu.p             0.99135590 0.002477262  9.859007e-01  0.991567791  0.99554599 1.00  5717
mu.phi[1]        0.70544495 0.040573311  6.221105e-01  0.707763366  0.77931853 1.00  2061
mu.phi[2]        0.88641139 0.026592277  8.294410e-01  0.888789722  0.93241630 1.00  2911
mu.phi[3]        0.85970266 0.030638240  7.940042e-01  0.861887589  0.91327113 1.00  3049
mu.phi[4]        0.92935781 0.014466019  8.985778e-01  0.930371007  0.95437869 1.00  2226
mu.phi[5]        0.89565775 0.022672677  8.469392e-01  0.897346595  0.93504456 1.00  2508
mu.phi[6]        0.66034748 0.041410554  5.770189e-01  0.661199336  0.73905674 1.00  2490
sigma.R          0.08159451 0.065337193  1.090960e-02  0.063660317  0.25285926 1.14   136
sigma.p          0.10786430 0.082186872  9.162867e-03  0.087027816  0.30918129 1.02   148
