Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.08 
Min n.eff:                        0 


Model summary 
============= 
                       mean          sd          2.5%         50%       97.5% Rhat n.eff
betaVR.R[1]      0.39528230 0.967174380 -1.487692e+00  0.38314610  2.24056576 1.00  6106
mean.R[6, 15]    0.09084247 0.124570946  1.741706e-03  0.04428353  0.46456639 1.00  3489
mean.R[1, 16]    0.81786928 0.187144241  3.131562e-01  0.88492752  0.99788303 1.00  2874
mean.R[2, 16]    0.79259859 0.192234471  3.028533e-01  0.85127290  0.99677713 1.00  3238
mean.R[3, 16]    0.74770513 0.225100299  2.076200e-01  0.81185730  0.99664746 1.00  2207
mean.R[4, 16]    0.64785541 0.262327862  1.216577e-01  0.69448172  0.99285410 1.00  2548
mean.R[5, 16]    0.58957500 0.261664329  1.085159e-01  0.60448815  0.98554076 1.00  3382
mean.R[6, 16]    0.33146073 0.273032768  1.893688e-02  0.24356049  0.94771095 1.00  1893
mean.R[1, 17]    0.51865997 0.339219396  6.841401e-03  0.53100589  0.99127480 1.05    85
mean.R[2, 17]    0.50083228 0.335084879  7.124698e-03  0.50161935  0.98750919 1.05    92
mean.R[3, 17]    0.44718410 0.335964757  4.297314e-03  0.40003589  0.98308358 1.06    89
mean.R[4, 17]    0.36324957 0.313894724  2.564271e-03  0.26966114  0.96003315 1.08    79
mean.R[5, 17]    0.40604844 0.320970066  4.285682e-03  0.33611801  0.97331544 1.06   105
mean.R[6, 17]    0.19029515 0.236526660  5.425951e-04  0.08439025  0.85969190 1.07    91
mean.p[1]        0.48963899 0.234694790  8.509512e-02  0.48122485  0.92513399 1.00  4196
mean.p[2]        0.78814605 0.083840760  6.039109e-01  0.79722619  0.92725124 1.00  4714
mean.p[3]        0.75955222 0.063844291  6.260564e-01  0.76351973  0.87316668 1.00  5945
mean.p[4]        0.67057675 0.049564420  5.705292e-01  0.67199030  0.76408204 1.00  6934
mean.p[5]        0.53213319 0.048284515  4.385609e-01  0.53234013  0.62681102 1.00  7299
mean.p[6]        0.48474451 0.044081644  3.989008e-01  0.48440827  0.57302950 1.00  6928
mean.p[7]        0.38190661 0.042732696  2.996752e-01  0.38149077  0.46669843 1.00  7308
mean.p[8]        0.26954941 0.034638330  2.032403e-01  0.26868620  0.33831820 1.00  7015
mean.p[9]        0.23851567 0.032940519  1.769435e-01  0.23768223  0.30568399 1.00  6768
mean.p[10]       0.25614037 0.030313767  1.983511e-01  0.25555051  0.31758402 1.00  6970
mean.p[11]       0.25943415 0.028463450  2.056483e-01  0.25884747  0.31759782 1.00  7403
mean.p[12]       0.22488105 0.027056320  1.736834e-01  0.22391485  0.28045008 1.00  7165
mean.p[13]       0.23408165 0.025756401  1.854526e-01  0.23342674  0.28652184 1.00  7702
mean.p[14]       0.16816213 0.022582132  1.270410e-01  0.16722282  0.21477586 1.00  6998
mean.p[15]       0.19137948 0.023509645  1.475572e-01  0.19066072  0.24061711 1.00  7137
mean.p[16]       0.22654826 0.023767584  1.813853e-01  0.22611040  0.27428776 1.00  7161
mean.p[17]       0.20145024 0.022034317  1.601773e-01  0.20126244  0.24581556 1.00  7356
mean.p[18]       0.53817098 0.125336582  3.358703e-01  0.52428033  0.81371142 1.02   266
mean.phi[1, 1]   0.96842783 0.050463520  8.238249e-01  0.98885366  0.99997518 1.00  8431
mean.phi[2, 1]   0.96384175 0.066536914  7.555721e-01  0.99120097  0.99998832 1.00  8016
mean.phi[3, 1]   0.87820385 0.202610285  2.403110e-01  0.97590796  0.99998133 1.00  7387
mean.phi[4, 1]   0.88634785 0.198078391  2.434551e-01  0.98142759  0.99998983 1.00  7294
mean.phi[5, 1]   0.23116019 0.268750155  1.874003e-04  0.11064003  0.90737857 1.00  7317
mean.phi[6, 1]   0.93945750 0.096209917  6.465356e-01  0.98045555  0.99996287 1.00  7660
mean.phi[1, 2]   0.78883476 0.071970749  6.294588e-01  0.79536413  0.90922872 1.00  6832
mean.phi[2, 2]   0.98011686 0.034565368  8.777702e-01  0.99406873  0.99998892 1.00  7615
mean.phi[3, 2]   0.96929905 0.055786443  8.049591e-01  0.99215791  0.99998840 1.00  7698
mean.phi[4, 2]   0.89397925 0.186149701  2.943765e-01  0.98335496  0.99998759 1.00  6577
mean.phi[5, 2]   0.21953073 0.257042676  2.251265e-04  0.10374875  0.88271732 1.00  6701
mean.phi[6, 2]   0.07994245 0.113206370  1.094794e-04  0.03178691  0.41404711 1.00  6750
mean.phi[1, 3]   0.95723612 0.036353245  8.614994e-01  0.96699577  0.99788550 1.00  7235
mean.phi[2, 3]   0.96392306 0.032132868  8.800690e-01  0.97292422  0.99826228 1.00  7518
mean.phi[3, 3]   0.98232873 0.031368247  8.917030e-01  0.99501316  0.99999142 1.00  8259
mean.phi[4, 3]   0.98697047 0.024484275  9.173801e-01  0.99672691  0.99999443 1.00  7888
mean.phi[5, 3]   0.68876943 0.220134757  1.973179e-01  0.73124821  0.98195109 1.00  6947
mean.phi[6, 3]   0.35115654 0.175005696  7.038431e-02  0.33534365  0.72502717 1.00  7227
mean.phi[1, 4]   0.97775655 0.034070532  8.786484e-01  0.99146605  0.99997336 1.00  7697
mean.phi[2, 4]   0.89284106 0.056832428  7.588665e-01  0.90210424  0.97525690 1.00  8075
mean.phi[3, 4]   0.93136391 0.044933912  8.225288e-01  0.94064448  0.99005222 1.00  8231
mean.phi[4, 4]   0.99276774 0.013319490  9.543283e-01  0.99808070  0.99999622 1.00  7103
mean.phi[5, 4]   0.79602972 0.159132679  4.152549e-01  0.83360910  0.99043067 1.00  7138
mean.phi[6, 4]   0.08283950 0.115548079  7.741798e-05  0.03443358  0.42197276 1.00  6766
mean.phi[1, 5]   0.98845650 0.018583338  9.340474e-01  0.99580531  0.99998892 1.00  9195
mean.phi[2, 5]   0.98478193 0.028363515  9.006770e-01  0.99600701  0.99999512 1.00  7596
mean.phi[3, 5]   0.96183837 0.034340956  8.700202e-01  0.97159168  0.99822553 1.00  9709
mean.phi[4, 5]   0.91824433 0.035021755  8.376720e-01  0.92277495  0.97267194 1.00  9149
mean.phi[5, 5]   0.68880865 0.207868634  2.291221e-01  0.72260142  0.97950946 1.00  7495
mean.phi[6, 5]   0.51363437 0.274285972  4.086506e-02  0.51890928  0.96481581 1.00  7684
mean.phi[1, 6]   0.97133798 0.047109672  8.312423e-01  0.99024631  0.99997162 1.01  9135
mean.phi[2, 6]   0.96259572 0.033828641  8.743276e-01  0.97226232  0.99842263 1.00  9302
mean.phi[3, 6]   0.98459240 0.027972209  9.010483e-01  0.99596202  0.99999301 1.00  8375
mean.phi[4, 6]   0.94021402 0.025914465  8.795661e-01  0.94382443  0.98004130 1.00  8549
mean.phi[5, 6]   0.08142579 0.122181683  5.862172e-05  0.02857026  0.45079116 1.00  7537
mean.phi[6, 6]   0.49199545 0.273917582  3.566877e-02  0.48786313  0.96268799 1.00  7485
mean.phi[1, 7]   0.98955422 0.016554133  9.403409e-01  0.99624620  0.99998638 1.00  8772
