mean.phi[2, 15]  0.829587145 0.03499020  0.750213053  0.8321170144  0.88986784 1.00  4749
mean.phi[3, 15]  0.743936395 0.05991572  0.614360257  0.7475545734  0.85070781 1.01  5016
mean.phi[4, 15]  0.560357231 0.07122075  0.407156012  0.5632892102  0.69125951 1.01  4289
mean.phi[1, 16]  0.744962492 0.04281654  0.644419046  0.7501472603  0.81556617 1.01  2828
mean.phi[2, 16]  0.838720258 0.03360597  0.769197122  0.8392586258  0.90494998 1.00  3463
mean.phi[3, 16]  0.729759922 0.05978003  0.589050088  0.7363990119  0.82757902 1.01  2364
mean.phi[4, 16]  0.574516940 0.07010065  0.430798347  0.5755672073  0.71085103 1.01  5222
mean.phi[1, 17]  0.742509514 0.07199642  0.582599227  0.7481064324  0.87384545 1.00  3520
mean.phi[2, 17]  0.828588914 0.04183304  0.733684964  0.8313402841  0.90436970 1.00  3456
mean.phi[3, 17]  0.731033557 0.07202933  0.562622230  0.7385633021  0.85410097 1.00  4769
mean.phi[4, 17]  0.568126024 0.09625069  0.360936701  0.5719129342  0.74978386 1.00  5604
mu.R[1]          0.167748399 0.05145008  0.081893463  0.1626935895  0.28283001 1.00  2490
mu.R[2]          0.108233247 0.04231369  0.041882045  0.1029752873  0.20674325 1.00  3014
mu.R[3]          0.252988119 0.07913898  0.117004402  0.2460108179  0.42381947 1.00  4880
mu.R[4]          0.090185796 0.04787874  0.021627110  0.0813638916  0.20595239 1.00  4743
mu.p             0.931898663 0.01570984  0.897323440  0.9333797855  0.95885999 1.01  1298
mu.phi[1]        0.790478002 0.02557015  0.739163171  0.7911558222  0.83810379 1.00  3263
mu.phi[2]        0.828062903 0.02233611  0.781910782  0.8288499453  0.86930179 1.00  3179
mu.phi[3]        0.749121032 0.03808154  0.669723748  0.7504402317  0.81824114 1.00  5076
mu.phi[4]        0.584742618 0.05295633  0.482251834  0.5851407082  0.68772619 1.00  4753
sigma.R          0.749406620 0.42174097  0.072654979  0.7176047470  1.69417627 1.02   288
sigma.p          0.750776983 0.17931379  0.436015082  0.7373997709  1.13074827 1.00  1152
sigma.phi        0.191634998 0.12974948  0.027012039  0.1656262269  0.50421304 1.03    55
vegr[1]         -0.483600269 0.94161504 -2.294718389 -0.5010918682  1.40608473 1.00  4587
