ID,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
652,999,999,999,999,999,1,1,2,2,2,2,2,5,5,5,5,5
654,999,999,999,999,999,4,5,5,5,5,5,5,5,5,5,5,5
665,999,999,999,999,999,999,1,1,5,5,5,5,5,5,5,5,5
666,999,999,999,999,999,999,1,1,1,3,5,5,5,5,5,5,5
676,999,999,999,999,999,999,1,1,3,5,5,5,5,5,5,5,5
679,999,999,999,999,999,999,1,1,1,4,5,5,5,5,5,5,5
680,999,999,999,999,999,999,1,1,1,1,1,1,1,1,1,1,1
684,999,999,999,999,999,999,1,1,1,5,5,5,5,5,5,5,5
685,999,999,999,999,999,999,1,1,5,5,5,5,5,5,5,5,5
688,999,999,999,999,999,999,4,5,5,5,5,5,5,5,5,5,5
718,999,999,999,999,999,999,1,1,1,4,5,5,5,5,5,5,5
721,999,999,999,999,999,999,1,5,5,5,5,5,5,5,5,5,5
729,999,999,999,999,999,999,1,1,1,3,5,5,5,5,5,5,5
731,999,999,999,999,999,999,1,1,1,1,1,1,1,1,1,4,5
734,999,999,999,999,999,999,1,1,1,1,1,1,1,1,1,1,1
739,999,999,999,999,999,999,1,1,1,2,2,2,5,5,5,5,5
740,999,999,999,999,999,999,4,5,5,5,5,5,5,5,5,5,5
743,999,999,999,999,999,999,1,1,1,1,1,1,1,3,5,5,5
745,999,999,999,999,999,999,1,1,1,1,1,1,1,1,1,1,1
752,999,999,999,999,999,999,4,5,5,5,5,5,5,5,5,5,5
754,999,999,999,999,999,999,1,1,4,5,5,5,5,5,5,5,5
771,999,999,999,999,999,999,1,1,1,1,1,1,4,5,5,5,5
777,999,999,999,999,999,999,4,5,5,5,5,5,5,5,5,5,5
807,999,999,999,999,999,999,999,1,1,1,1,1,1,1,4,5,5
811,999,999,999,999,999,999,999,1,1,3,5,5,5,5,5,5,5
816,999,999,999,999,999,999,999,1,1,3,5,5,5,5,5,5,5
821,999,999,999,999,999,999,999,1,1,4,5,5,5,5,5,5,5
824,999,999,999,999,999,999,999,1,1,1,1,4,5,5,5,5,5
827,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1,1,1
831,999,999,999,999,999,999,999,1,1,1,1,1,1,5,5,5,5
832,999,999,999,999,999,999,999,1,1,1,1,2,2,5,2,2,5
834,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1,1,5
835,999,999,999,999,999,999,999,1,1,4,5,5,5,5,5,5,5
839,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1,1,1
847,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1,1,1
851,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1,1,1
852,999,999,999,999,999,999,999,3,5,5,5,5,5,5,5,5,5
874,999,999,999,999,999,999,999,4,5,5,5,5,5,5,5,5,5
876,999,999,999,999,999,999,999,1,1,4,5,5,5,5,5,5,5
888,999,999,999,999,999,999,999,999,1,1,1,4,5,5,5,5,5
889,999,999,999,999,999,999,999,999,1,1,1,2,5,5,5,5,5
892,999,999,999,999,999,999,999,999,1,1,1,1,1,5,5,5,5
893,999,999,999,999,999,999,999,999,1,1,1,5,5,5,5,5,5
895,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1,1
897,999,999,999,999,999,999,999,999,1,1,1,1,1,1,3,5,5
